,Western larch,0.5665,,0.0804,,,,,0.0075,,,,,,2.1937,,,,,,-,,,,,,,,,,,,
,Redwood,1.8578,,1.6415,,,,,0.0800,,,,,,8.6472,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giant sequoia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Knobcone pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bishop pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Monterey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Whitebark pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous western softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western juniper,0.0328,,0.0267,,,,,-,,,,,,0.0966,,,,,,-,,,,,,,,,,,,
,California mixed conifer,0.3992,,0.2753,,,,,0.0789,,,,,,3.0576,,,,,,-,,,,,,,,,,,,
,Scotch pine,0.0898,,0.1353,,,,,0.0676,,,,,,0.0065,,,,,,-,,,,,,,,,,,,
,Other exotic softwoods,0.2869,,-,,,,,-,,,,,,3.1215,,,,,,-,,,,,,,,,,,,
,Norway spruce,0.4946,,0.4146,,,,,0.0058,,,,,,3.0848,,,,,,-,,,,,,,,,,,,
,Introduced larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,0.2375,,0.2466,,,,,0.2291,,,,,,0.0994,,,,,,-,,,,,,,,,,,,
,Eastern redcedar / hardwood,0.2363,,0.1637,,,,,0.0359,,,,,,0.9065,,,,,,-,,,,,,,,,,,,
,Longleaf pine / oak,0.8214,,0.1516,,,,,0.0137,,,,,,1.9296,,,,,,-,,,,,,,,,,,,
,Shortleaf pine / oak,0.2372,,0.2391,,,,,0.0881,,,,,,0.8584,,,,,,-,,,,,,,,,,,,
,Virginia pine / southern red oak,0.2861,,0.1473,,,,,0.1427,,,,,,1.4217,,,,,,-,,,,,,,,,,,,
,Loblolly pine / hardwood,1.4975,,0.3590,,,,,0.3133,,,,,,4.5172,,,,,,-,,,,,,,,,,,,
,Slash pine / hardwood,0.5448,,0.3029,,,,,0.2317,,,,,,1.2117,,,,,,-,,,,,,,,,,,,
,Other pine / hardwood,0.2453,,0.1234,,,,,0.0743,,,,,,0.7095,,,,,,-,,,,,,,,,,,,
,Post oak / blackjack oak,0.2501,,0.1434,,,,,0.1852,,,,,,1.2464,,,,,,-,,,,,,,,,,,,
,Chestnut oak,0.2971,,0.3081,,,,,0.0216,,,,,,2.9765,,,,,,-,,,,,,,,,,,,
,White oak / red oak / hickory,0.4121,,0.3040,,,,,0.3212,,,,,,2.5014,,,,,,-,,,,,,,,,,,,
,White oak,0.3577,,0.2922,,,,,0.5740,,,,,,2.2042,,,,,,-,,,,,,,,,,,,
,Northern red oak,0.3871,,0.3675,,,,,0.4181,,,,,,1.4023,,,,,,-,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,0.4473,,0.2221,,,,,0.2845,,,,,,3.1083,,,,,,-,,,,,,,,,,,,
,Sassafras / persimmon,2.0489,,0.9918,,,,,0.1113,,,,,,2.9365,,,,,,-,,,,,,,,,,,,
,Sweetgum / yellow-poplar,1.4701,,0.3053,,,,,0.2953,,,,,,4.2084,,,,,,-,,,,,,,,,,,,
,Bur oak,0.1220,,0.0942,,,,,0.2444,,,,,,0.0843,,,,,,-,,,,,,,,,,,,
,Scarlet oak,0.1138,,0.1350,,,,,0.0600,,,,,,0.0512,,,,,,-,,,,,,,,,,,,
,Yellow-poplar,0.7380,,0.1665,,,,,0.2820,,,,,,3.8603,,,,,,-,,,,,,,,,,,,
,Black walnut,0.1847,,0.2030,,,,,0.0785,,,,,,0.4442,,,,,,-,,,,,,,,,,,,
,Black locust,0.3179,,0.3685,,,,,0.0927,,,,,,0.5041,,,,,,-,,,,,,,,,,,,
,Southern scrub oak,0.7350,,0.4917,,,,,0.1762,,,,,,0.9920,,,,,,-,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,0.3427,,0.2349,,,,,0.2534,,,,,,3.4870,,,,,,-,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,0.8045,,0.4934,,,,,0.2276,,,,,,2.1062,,,,,,-,,,,,,,,,,,,
,Elm / ash / black locust,0.5142,,0.2355,,,,,0.1780,,,,,,1.2410,,,,,,-,,,,,,,,,,,,
,Red maple / oak,1.0850,,0.7724,,,,,0.5256,,,,,,3.2743,,,,,,-,,,,,,,,,,,,
,Mixed upland hardwoods,0.9259,,0.3435,,,,,0.3364,,,,,,2.8919,,,,,,-,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,0.5616,,0.3858,,,,,0.3443,,,,,,3.0261,,,,,,-,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,0.4795,,0.2526,,,,,0.2138,,,,,,2.1653,,,,,,-,,,,,,,,,,,,
,Overcup oak / water hickory,0.4497,,0.3566,,,,,0.3705,,,,,,1.8043,,,,,,-,,,,,,,,,,,,
,Atlantic white-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / water tupelo,0.2228,,0.1824,,,,,0.0448,,,,,,1.8069,,,,,,-,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,0.5603,,0.1352,,,,,0.2120,,,,,,1.8254,,,,,,-,,,,,,,,,,,,
,Baldcypress / pondcypress,0.1473,,0.1357,,,,,0.1089,,,,,,0.2521,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black ash / American elm / red maple,0.1530,,0.0443,,,,,0.1004,,,,,,0.5007,,,,,,-,,,,,,,,,,,,
,River birch / sycamore,0.3421,,0.1307,,,,,0.0547,,,,,,2.4919,,,,,,-,,,,,,,,,,,,
,Cottonwood,0.2773,,0.1464,,,,,0.2467,,,,,,3.0595,,,,,,-,,,,,,,,,,,,
,Willow,1.0016,,0.0307,,,,,-,,,,,,2.7855,,,,,,-,,,,,,,,,,,,
,Sycamore / pecan / American elm,0.4947,,0.2988,,,,,0.5017,,,,,,1.7689,,,,,,-,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,0.4436,,0.2410,,,,,0.2414,,,,,,1.5189,,,,,,-,,,,,,,,,,,,
,Silver maple / American elm,0.1734,,0.1767,,,,,0.0843,,,,,,0.4179,,,,,,-,,,,,,,,,,,,
,Red maple / lowland,0.3442,,0.0951,,,,,0.3542,,,,,,0.9368,,,,,,-,,,,,,,,,,,,
,Cottonwood / willow,0.0288,,0.0073,,,,,0.1557,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon ash,1.4149,,-,,,,,-,,,,,,5.3739,,,,,,-,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,0.6808,,0.4950,,,,,0.6246,,,,,,2.3440,,,,,,-,,,,,,,,,,,,
,Black cherry,0.3350,,0.2726,,,,,0.1265,,,,,,0.7855,,,,,,-,,,,,,,,,,,,
,Hard maple / basswood,0.5735,,0.5271,,,,,0.5119,,,,,,1.2979,,,,,,-,,,,,,,,,,,,
,Red maple / upland,0.6029,,0.5676,,,,,0.5267,,,,,,0.9818,,,,,,-,,,,,,,,,,,,
,Aspen,0.5296,,0.1259,,,,,0.0636,,,,,,1.2466,,,,,,-,,,,,,,,,,,,
,Paper birch,0.2556,,0.0974,,,,,0.2004,,,,,,0.5242,,,,,,-,,,,,,,,,,,,
,Gray birch,0.3125,,-,,,,,0.0479,,,,,,0.4325,,,,,,-,,,,,,,,,,,,
,Balsam poplar,0.6229,,0.2232,,,,,0.0036,,,,,,1.4621,,,,,,-,,,,,,,,,,,,
,Pin cherry,2.2783,,-,,,,,-,,,,,,2.6696,,,,,,-,,,,,,,,,,,,
,Red alder,1.3272,,0.3669,,,,,0.1674,,,,,,7.6097,,,,,,-,,,,,,,,,,,,
,Bigleaf maple,0.9361,,0.2998,,,,,0.0871,,,,,,5.2143,,,,,,-,,,,,,,,,,,,
,Gray pine,0.2733,,0.2733,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California black oak,0.2103,,0.0284,,,,,0.1710,,,,,,0.9301,,,,,,-,,,,,,,,,,,,
,Oregon white oak,0.5996,,0.3600,,,,,0.0877,,,,,,2.1791,,,,,,-,,,,,,,,,,,,
,Blue oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Coast live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Canyon live oak,0.1658,,0.1797,,,,,0.0176,,,,,,0.3899,,,,,,-,,,,,,,,,,,,
,Interior live oak,0.3095,,-,,,,,0.7888,,,,,,-,,,,,,-,,,,,,,,,,,,
,California white oak (valley oak),-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Tanoak,0.5807,,0.1228,,,,,-,,,,,,2.8054,,,,,,-,,,,,,,,,,,,
,California laurel,0.3581,,0.0275,,,,,-,,,,,,2.7629,,,,,,-,,,,,,,,,,,,
,Giant chinkapin,0.7395,,0.0073,,,,,-,,,,,,2.0874,,,,,,-,,,,,,,,,,,,
,Pacific madrone,0.1691,,0.1795,,,,,0.2094,,,,,,0.0187,,,,,,-,,,,,,,,,,,,
,Other hardwoods,0.6437,,0.6063,,,,,0.0216,,,,,,0.8697,,,,,,-,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Palms,0.0130,,0.0132,,,,,0.0233,,,,,,-,,,,,,-,,,,,,,,,,,,
,Moist forest,0.2204,,0.2715,,,,,0.2157,,,,,,0.1554,,,,,,-,,,,,,,,,,,,
,Wet and rain forest,0.0884,,0.0564,,,,,0.0306,,,,,,0.4992,,,,,,-,,,,,,,,,,,,
,Lower montane wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other tropical hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paulownia,1.4379,,1.7400,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Melaleuca,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eucalyptus,1.2758,,-,,,,,-,,,,,,1.3881,,,,,,-,,,,,,,,,,,,
,Other exotic hardwoods,1.0626,,0.4156,,,,,0.1504,,,,,,2.1018,,,,,,-,,,,,,,,,,,,
,Nonstocked,3.2474,,-,,,,,-,,,,,,-,,,,,,3.2474,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sum of all pages
Numerator estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,,,,,Large diameter,,,,,Medium diameter,,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,
,Total,"320,548,835",,,,,,"104,342,596",,,,,"30,070,791",,,,,,"167,840,963",,,,,,"18,294,485",,,,,,,,
,Jack pine,"156,189",,,,,,"11,251",,,,,"37,936",,,,,,"107,001",,,,,,-,,,,,,,,
,Red pine,"1,491,585",,,,,,"1,299,923",,,,,"134,280",,,,,,"57,382",,,,,,-,,,,,,,,
,Eastern white pine,"1,400,075",,,,,,"1,039,564",,,,,"109,743",,,,,,"250,768",,,,,,-,,,,,,,,
,Eastern white pine / eastern hemlock,"433,640",,,,,,"393,751",,,,,-,,,,,,"39,888",,,,,,-,,,,,,,,
,Eastern hemlock,"673,835",,,,,,"623,764",,,,,"49,994",,,,,,77,,,,,,-,,,,,,,,
,Balsam fir,"1,345,461",,,,,,"24,768",,,,,"544,131",,,,,,"776,561",,,,,,-,,,,,,,,
,White spruce,"132,507",,,,,,"57,164",,,,,"49,630",,,,,,"25,714",,,,,,-,,,,,,,,
,Red spruce,"283,373",,,,,,"67,898",,,,,"60,972",,,,,,"154,502",,,,,,-,,,,,,,,
,Red spruce / balsam fir,"318,156",,,,,,"44,214",,,,,"152,931",,,,,,"121,010",,,,,,-,,,,,,,,
,Black spruce,"189,332",,,,,,-,,,,,"17,771",,,,,,"171,562",,,,,,-,,,,,,,,
,Tamarack,"94,746",,,,,,"6,919",,,,,531,,,,,,"87,296",,,,,,-,,,,,,,,
,Northern white-cedar,"440,559",,,,,,"205,854",,,,,"208,002",,,,,,"26,702",,,,,,-,,,,,,,,
,Longleaf pine,"2,661,908",,,,,,"548,801",,,,,"248,416",,,,,,"1,864,691",,,,,,-,,,,,,,,
,Slash pine,"8,315,602",,,,,,"2,654,106",,,,,"1,597,916",,,,,,"4,063,580",,,,,,-,,,,,,,,
,Loblolly pine,"85,439,035",,,,,,"32,468,824",,,,,"7,840,752",,,,,,"45,129,459",,,,,,-,,,,,,,,
,Shortleaf pine,"648,082",,,,,,"495,612",,,,,"76,048",,,,,,"76,422",,,,,,-,,,,,,,,
,Virginia pine,"479,183",,,,,,"174,987",,,,,"18,204",,,,,,"285,992",,,,,,-,,,,,,,,
,Sand pine,"684,697",,,,,,"82,427",,,,,"142,970",,,,,,"459,299",,,,,,-,,,,,,,,
,Table Mountain pine,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Pond pine,"9,449",,,,,,"9,303",,,,,145,,,,,,-,,,,,,-,,,,,,,,
,Pitch pine,"6,469",,,,,,189,,,,,"6,280",,,,,,-,,,,,,-,,,,,,,,
,Spruce pine,"47,329",,,,,,"47,329",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Eastern redcedar,"254,062",,,,,,"80,989",,,,,"122,990",,,,,,"50,083",,,,,,-,,,,,,,,
,Rocky Mountain juniper,726,,,,,,-,,,,,-,,,,,,726,,,,,,-,,,,,,,,
,Juniper woodland,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Pinyon / juniper woodland,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Douglas-fir,"22,747,981",,,,,,"5,184,147",,,,,"292,410",,,,,,"17,271,424",,,,,,-,,,,,,,,
,Port-Orford-cedar,"34,478",,,,,,-,,,,,-,,,,,,"34,478",,,,,,-,,,,,,,,
,Ponderosa pine,"2,888,303",,,,,,"1,983,090",,,,,"35,386",,,,,,"869,828",,,,,,-,,,,,,,,
,Incense-cedar,"9,762",,,,,,"9,762",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Sugar pine,"8,154",,,,,,"8,154",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Jeffrey pine,"83,477",,,,,,"83,477",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Western white pine,356,,,,,,-,,,,,-,,,,,,356,,,,,,-,,,,,,,,
,White fir,"507,020",,,,,,"301,592",,,,,"69,628",,,,,,"135,800",,,,,,-,,,,,,,,
,Red fir,"13,639",,,,,,"13,639",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Noble fir,"29,681",,,,,,"29,566",,,,,-,,,,,,115,,,,,,-,,,,,,,,
,Pacific silver fir,"140,761",,,,,,"15,141",,,,,"19,078",,,,,,"106,541",,,,,,-,,,,,,,,
,Engelmann spruce,"25,200",,,,,,"2,536",,,,,-,,,,,,"22,664",,,,,,-,,,,,,,,
,Engelmann spruce / subalpine fir,"6,001",,,,,,"3,836",,,,,"2,165",,,,,,-,,,,,,-,,,,,,,,
,Grand fir,"451,704",,,,,,"140,586",,,,,"2,520",,,,,,"308,597",,,,,,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subalpine fir,"16,465",,,,,,"16,465",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Blue spruce,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Mountain hemlock,"4,475",,,,,,"4,449",,,,,-,,,,,,26,,,,,,-,,,,,,,,
,Alaska-yellow-cedar,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Lodgepole pine,"408,468",,,,,,"92,748",,,,,"64,030",,,,,,"251,691",,,,,,-,,,,,,,,
,Western hemlock,"4,816,651",,,,,,"443,197",,,,,"31,949",,,,,,"4,341,505",,,,,,-,,,,,,,,
,Western redcedar,"575,127",,,,,,"131,428",,,,,"3,129",,,,,,"440,570",,,,,,-,,,,,,,,
,Sitka spruce,"663,987",,,,,,"280,854",,,,,"26,466",,,,,,"356,667",,,,,,-,,,,,,,,
,Western larch,"286,913",,,,,,"27,310",,,,,365,,,,,,"259,239",,,,,,-,,,,,,,,
,Redwood,"1,306,727",,,,,,"1,071,374",,,,,"1,898",,,,,,"233,456",,,,,,-,,,,,,,,
,Giant sequoia,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Knobcone pine,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Bishop pine,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Monterey pine,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Whitebark pine,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Miscellaneous western softwoods,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Western juniper,"13,652",,,,,,"9,992",,,,,-,,,,,,"3,660",,,,,,-,,,,,,,,
,California mixed conifer,"2,534,608",,,,,,"1,633,760",,,,,"9,619",,,,,,"891,229",,,,,,-,,,,,,,,
,Scotch pine,"29,695",,,,,,"22,313",,,,,"6,971",,,,,,410,,,,,,-,,,,,,,,
,Other exotic softwoods,"6,352",,,,,,-,,,,,-,,,,,,"6,352",,,,,,-,,,,,,,,
,Norway spruce,"87,580",,,,,,"52,930",,,,,222,,,,,,"34,428",,,,,,-,,,,,,,,
,Introduced larch,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Eastern white pine / northern red oak / white ash,"765,816",,,,,,"633,630",,,,,"118,453",,,,,,"13,733",,,,,,-,,,,,,,,
,Eastern redcedar / hardwood,"602,735",,,,,,"181,384",,,,,"36,542",,,,,,"384,809",,,,,,-,,,,,,,,
,Longleaf pine / oak,"672,841",,,,,,"47,085",,,,,"2,544",,,,,,"623,212",,,,,,-,,,,,,,,
,Shortleaf pine / oak,"623,760",,,,,,"443,613",,,,,"55,435",,,,,,"124,712",,,,,,-,,,,,,,,
,Virginia pine / southern red oak,"485,671",,,,,,"160,628",,,,,"60,010",,,,,,"265,033",,,,,,-,,,,,,,,
,Loblolly pine / hardwood,"17,217,827",,,,,,"2,163,567",,,,,"719,959",,,,,,"14,334,300",,,,,,-,,,,,,,,
,Slash pine / hardwood,"723,242",,,,,,"191,254",,,,,"73,638",,,,,,"458,350",,,,,,-,,,,,,,,
,Other pine / hardwood,"416,041",,,,,,"105,425",,,,,"33,539",,,,,,"277,077",,,,,,-,,,,,,,,
,Post oak / blackjack oak,"1,460,412",,,,,,"475,991",,,,,"376,142",,,,,,"608,280",,,,,,-,,,,,,,,
,Chestnut oak,"1,466,747",,,,,,"1,306,691",,,,,"13,985",,,,,,"146,071",,,,,,-,,,,,,,,
,White oak / red oak / hickory,"17,721,587",,,,,,"10,173,107",,,,,"2,402,271",,,,,,"5,146,208",,,,,,-,,,,,,,,
,White oak,"2,727,196",,,,,,"1,950,179",,,,,"463,223",,,,,,"313,793",,,,,,-,,,,,,,,
,Northern red oak,"1,847,917",,,,,,"1,583,524",,,,,"164,537",,,,,,"99,856",,,,,,-,,,,,,,,
,Yellow-poplar / white oak / northern red oak,"3,376,127",,,,,,"1,311,691",,,,,"306,046",,,,,,"1,758,389",,,,,,-,,,,,,,,
,Sassafras / persimmon,"3,082,566",,,,,,"363,899",,,,,"24,505",,,,,,"2,694,161",,,,,,-,,,,,,,,
,Sweetgum / yellow-poplar,"10,474,358",,,,,,"1,051,597",,,,,"457,733",,,,,,"8,965,028",,,,,,-,,,,,,,,
,Bur oak,"132,236",,,,,,"80,338",,,,,"49,488",,,,,,"2,410",,,,,,-,,,,,,,,
,Scarlet oak,"99,037",,,,,,"84,537",,,,,"13,554",,,,,,946,,,,,,-,,,,,,,,
,Yellow-poplar,"2,521,069",,,,,,"360,262",,,,,"210,508",,,,,,"1,950,299",,,,,,-,,,,,,,,
,Black walnut,"188,729",,,,,,"129,302",,,,,"23,947",,,,,,"35,480",,,,,,-,,,,,,,,
,Black locust,"224,375",,,,,,"77,614",,,,,"23,165",,,,,,"123,595",,,,,,-,,,,,,,,
,Southern scrub oak,"560,765",,,,,,"77,302",,,,,"25,346",,,,,,"458,117",,,,,,-,,,,,,,,
,Chestnut oak / black oak / scarlet oak,"2,685,816",,,,,,"1,494,589",,,,,"309,805",,,,,,"881,422",,,,,,-,,,,,,,,
,Cherry / white ash / yellow-poplar,"4,128,122",,,,,,"1,193,339",,,,,"336,621",,,,,,"2,598,162",,,,,,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm / ash / black locust,"2,559,550",,,,,,"456,610",,,,,"279,282",,,,,,"1,823,657",,,,,,-,,,,,,,,
,Red maple / oak,"3,573,056",,,,,,"1,407,994",,,,,"506,559",,,,,,"1,658,503",,,,,,-,,,,,,,,
,Mixed upland hardwoods,"17,597,053",,,,,,"3,469,735",,,,,"1,530,278",,,,,,"12,597,040",,,,,,-,,,,,,,,
,Swamp chestnut oak / cherrybark oak,"810,082",,,,,,"452,017",,,,,"59,243",,,,,,"298,822",,,,,,-,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,"4,444,857",,,,,,"1,536,292",,,,,"437,464",,,,,,"2,471,101",,,,,,-,,,,,,,,
